Орбісон,Рой,1935,4,23
Джаррет,Кит,1945,5,8
Петруччіані,Мішель,1962,12,28
Питерсон,Оскар,1925,8,15
Еванс,Білл,1929,8,16
Генкок,Гербі,1940,4,12
Коріа,Чик,1941,6,12
Гамбаров,Салман,1959,4,18
Монк,Телоніус,1917,10,10
Уехара,Хіромі,1979,3,26
